id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo;estado;descripcion_estado
1;29619;61443;neural Tajikistan;COMPRA;70176;76320;Queso payment Arquitecto;AHORA;PROG;Canarias e-commerce
2;78867;13930;Won Humano SQL;COMPRA;31411;98549;Bricolaje;PRINCIPIODIA;COMPLETE;Siria
3;25899;6046;protocol;VENTA;93749;33195;New Account;FINDIA;PROG;mobile Pequeño colaboración
4;62451;81413;Refinado;VENTA;12449;18908;Namibia;FINDIA;COMPLETE;Ensalada Adelante
5;58034;39401;copying Belice moderador;VENTA;13189;63687;sistémica reboot Genérico;AHORA;COMPLETE;Acero Rial program
6;41182;31120;Seguro Estratega drive;VENTA;11347;23258;withdrawal holistic iterate;PRINCIPIODIA;OK;revolutionize
7;85862;82542;Madera;COMPRA;46519;45761;tangible Principado invoice;FINDIA;OK;Decoración Ladrillo robust
8;4764;67346;B2C Hecho;VENTA;43463;30614;Pelota Buckinghamshire;PRINCIPIODIA;OK;Gris
9;26907;33775;Bebes Arrabal;VENTA;21400;13670;División;AHORA;COMPLETE;Bacon
10;66707;65499;optical Práctico up;COMPRA;99747;50055;enable;PRINCIPIODIA;OK;Soporte optimize
